stop_id,stop_code,stop_name,stop_lat,stop_lon
10114,13599,HUYLER ST 351' N OF NORTH ST,40.86556,-74.04897000000001
10115,13600,HUYLER ST AT WESLEY ST,40.86897,-74.04921
10116,12526,RIDGE RD AT MARIN AVE,40.80628,-74.12019000000001
10117,13487,RIDGE RD AT WOODLAND AVE,40.81877,-74.11113
10118,13488,RIDGE RD AT SUMMIT CROSS,40.82301,-74.10797000000001
10119,30978,US-30 at CLEMENTON - BERLIN ROAD (CR534),39.79984,-74.93680000000001
1012,16847,RT-47 AT MCNEAL STREET,39.40471,-75.03781000000001
10120,14956,US-30 at THACKARA AVE,39.79545,-74.93218
10121,14957,US-30 at BROAD AVE,39.79327000000001,-74.93079
10122,29237,WEST FRONT ST AT GERAUD AVE,40.61317,-74.43181000000001
10123,29239,WEST FRONT ST AT WEST END AVE,40.60916,-74.43639
10124,16780,NJ 49 AT BANK ST,39.42542,-75.23065000000001
10125,16781,RT-49 AT EAST AVE,39.42575,-75.22504000000001
10126,16897,RT-49 AT RIECK AVENUE,39.40084,-75.07466000000001
10127,16900,RT-49 AT SHARP STREET,39.39765000000001,-75.05695
10128,16867,MAIN ST AT 7TH STREET,39.39518,-75.0301
10129,16378,US-30 at ATCO AVE,39.76723,-74.89464000000001
1013,16851,RT-47 AT GARFIELD STREET,39.38699,-75.03256
10130,15585,US-30 at CLEVELAND AVE,39.73886,-74.87222000000001
10131,20268,AVE C AT W 37TH ST,40.67601000000001,-74.11125000000001
10132,21275,BELGROVE DR AT LINCOLN AVE#,40.75451,-74.16192000000001
10133,18337,BROAD ST AT 8TH AVE,40.74897,-74.17045
10134,21235,BELGROVE DR AT BERGEN AVE,40.76116,-74.15581
10135,19516,NORTHFIELD AVE AT WOODS END RD,40.76692000000001,-74.29236
10136,17965,EAST NORTHFIELD RD AT SYCAMORE ROAD,40.77160000000001,-74.30838
10137,17966,EAST NORTHFIELD RD AT CHESTNUT STREET,40.77175,-74.30999
10138,17968,EAST NORTHFIELD RD AT HERON ROAD,40.77262,-74.31529
10139,17983,S LIVINGSTON AVE AT WEST OAKWOOD AVE,40.78621,-74.31341
1014,30667,ORANGE ST AT MICHEL BEAUME DR,39.37432,-75.01298000000001
10140,12291,TERRACE AVE AT WILLIAMS AVE,40.86709,-74.0668
10141,12295,TERRACE AVE AT LINCOLN AVE,40.85094,-74.07871
10142,11836,ANDERSON AVE AT BRINKERHOFF AVE,40.83745,-73.98242
10143,18036,W MT PLEASANT AVE AT MT HAVEN DRIVE,40.79567,-74.33097000000001
10144,19471,MT PLEASANT AVE AT RIDGE RD,40.78769,-74.25443
10145,19476,MT PLEASANT AVE AT LONGVIEW ST,40.78032,-74.24393000000001
10146,17374,ERIE LOOP,40.77612000000001,-74.23842
10147,17553,ML KING JR BLVD AT SOUTH BURNET ST,40.7633,-74.21385000000001
10148,17555,ML KING JR BLVD AT WINANS ST,40.76185,-74.21192000000001
10149,13981,MAIN AVE AT MIDLAND AVE,40.85847,-74.10561000000001
1015,30662,WADE BLVD AT DURAND GLASS DR,39.38313,-75.01559
10150,11849,ANDERSON AVE AT BLUFF RD,40.83476,-73.98370000000001
10151,11135,ANDERSON AVE AT OAKDENE AVE,40.82415,-73.98883000000001
10152,11143,GORGE RD AT PARK AVE,40.81780000000001,-73.98885
10153,11145,GORGE RD 225'S OF WALKER ST/LAIRD AVE,40.81337000000001,-73.99039
10154,11381,RIVER RD AT CITY PLACE,40.80695,-73.99072000000001
10155,32391,RIVER RD 796'N OF THOMPSON LN,40.81155,-73.98745000000001
10156,20992,OCEAN AVE AT BAYVIEW AVE,40.70454,-74.07949000000001
10157,32046,OCEAN AVE AT KEARNEY AVE,40.70929,-74.07655000000001
10158,20997,OCEAN AVE AT VIRGINIA AVE,40.71112,-74.07561000000001
10159,20754,GRAND ST AT MONMOUTH ST,40.71689000000001,-74.05247
1016,19733,MAIN ST AT WILSON AVE,39.7147,-75.11370000000001
10160,20643,C COLUMBUS DRIVE AT GROVE ST,40.71952,-74.04320000000001
10161,30226,AVE C AT W 4TH ST,40.64991000000001,-74.13025
10162,20257,AVE C AT W 18TH ST,40.66188,-74.12320000000001
10163,28298,US-206 1035'S OF APPLEGATE RD,40.39143000000001,-74.65398
10164,26779,LEXINGTON AVE AT CLIFTON AVE,40.87682,-74.13411000000001
10165,26780,LEXINGTON AVE AT SEGER AVE,40.87915,-74.13489000000001
10166,26766,LAKEVIEW AVE AT MERSELIS AVE,40.88524,-74.13813
10167,27489,VREELAND AVE AT 19TH AVE,40.90829,-74.14083000000001
10168,25955,US-46 5280' W of EDWARDS RD. RAMP,40.86239,-74.37716
10169,26604,IRONS ST 125'N OF WATER ST,39.95355,-74.19946
1017,19974,COUNTY HOUSE RD 465' N of RT-47,39.77852,-75.10107000000001
10170,26571,RT-166 AT COLONIAL RD,39.98091,-74.20935
10171,10812,MAIN ST AT STENTON PL,39.40291000000001,-74.51264
10172,27851,WAYNE HILLS MALL AT SHOPRITE BUS STOP,40.96235,-74.23964000000001
10173,32976,MARKET ST 200'E OF PINE ST,40.9001,-74.11823000000001
10174,27581,FURLER ST 1056' W OF UNION BLVD,40.89562,-74.22872000000001
10175,27622,UNION BLVD AT LINCOLN AVE,40.90879,-74.20452
10176,27476,UNION AVE AT ARLINGTON AVE,40.91379000000001,-74.19676000000001
10177,25917,JEFFERSON RD AT EAST HALSEY RD,40.84876000000001,-74.42003000000001
10178,25936,PARSIPPANY RD AT LANDIX PLAZA EAST,40.86348,-74.42516000000001
10179,32745,NEW BRIDGE MEDICAL CTR,40.95862,-74.06246
1018,19995,EGG HARBOR RD AT COUNTY HOUSE RD,39.77932000000001,-75.09664000000001
10180,13120,MIDLAND AVE AT GARDEN STATE PARKWAY OVERPASS#,40.94840000000001,-74.06648000000001
10181,20600,BERGEN AVE AT MORTON PL,40.71258,-74.08204000000001
10182,21037,OLD BERGEN RD AT MACADOO AVE,40.70136,-74.09230000000001
10183,21167,WEST SIDE AVE AT GIFFORD AVE,40.72322,-74.07939
10184,11082,CENTRAL BLVD AT COMMERCE BLVD,40.82711,-74.04567
10185,12719,MOONACHIE RD AT GARDEN ST,40.83957,-74.04873000000001
10186,13989,MAIN AVE AT HATHEWAY ST,40.85498,-74.11275000000001
10187,10453,US-30 at 6TH AVE,39.44433,-74.52573000000001
10188,21171,WEST SIDE AVE AT UNION ST,40.71808,-74.08408
10189,30499,FOWLER AVE AT DANFORTH AVE,40.70149000000001,-74.09583000000001
1019,19021,SPRINGFIELD AVE AT SOUTH 20TH ST,40.72971,-74.21436
10190,11900,MAIN ST AT BERGEN BLVD,40.85696,-73.97931000000001
10191,27395,MARKET ST AT EAST 24TH ST,40.91043000000001,-74.15362
10192,21981,GREEN LN AT HOLLOWBROOK DR,40.26612,-74.77179000000001
10193,22036,PENNINGTON RD 538'S OF CARLTON/MAIN,40.26987,-74.78345
10194,22501,RT-27 (NASSAU ST) AT MORAN AVE,40.35168,-74.65313
10195,22502,RT-27 (NASSAU ST) AT MOORE ST,40.35136000000001,-74.65425
10196,13540,MARKET ST AT MAYHILL ST,40.89642000000001,-74.09215
10197,12462,ESSEX ST AT MAYWOOD AVE,40.88909,-74.06819
10198,22568,WITHERSPOON ST AT GUYOT AVE,40.35908000000001,-74.66386
10199,32703,STATE ST (SOUTH) AT KANSAS ST,40.87724,-74.04773
1020,17882,SPRINGFIELD AVE AT CIVIC SQUARE,40.72582000000001,-74.23335
10200,22520,WITHERSPOON ST AT PAUL ROBESON PL,40.35218,-74.66092
10201,22515,UNIVERSITY PL AT EDWARDS PL,40.34718,-74.66200000000001
10202,22913,CANAL POINT BLVD 240'S OF CARILLON BLVD,40.31936,-74.65869000000001
10203,12713,MOONACHIE AVE AT CHARLES LINDBERGH BLVD,40.83965000000001,-74.06766
10204,11090,GOTHAM PKWY AT VETERANS BLVD,40.82702,-74.07005000000001
10205,31931,MURRAY HILL PKWY AT EAST UNION AVE,40.82238,-74.08897
10206,27749,PATERSON HAMBURG TPKE 241'E OF HINCHMAN AVE,40.95647,-74.22168000000001
10207,26950,CENTRAL AVE AT CEDAR CLIFF AVE,40.93425000000001,-74.19139000000001
10208,27508,WEST BROADWAY AT KATZ AVE,40.93018,-74.19033
10209,27285,ELLISON ST AT CITY HALL,40.91727,-74.17209000000001
1021,17884,SPRINGFIELD AVE AT ELMWOOD AVE,40.72508000000001,-74.23860000000001
10210,14338,RIVER RD AT CHESTER AVE#,40.03418000000001,-74.96939
10211,32368,FRANKLIN ST AT KOSSUTH ST#,40.03942,-74.9581
10212,19643,RT-45 AT COLLEGE RD,39.81034,-75.16593
10213,14818,VETERANS PKWY AT J.F.K. WAY,40.0288,-74.88098000000001
10214,28803,3RD ST AT PINE ST,40.65486000000001,-74.18613000000001
10215,28579,E JERSEY ST AT NEW POINT RD,40.65877,-74.19774000000001
10216,23793,STATE ST AT WASHINGTON ST,40.51338000000001,-74.26549
10217,23776,SMITH ST AT STOCKTON ST,40.51169,-74.27886000000001
10218,23777,SMITH ST AT GOODWIN ST,40.5121,-74.28046000000001
10219,23778,SMITH ST AT KIRKLAND PL,40.51258,-74.28181000000001
1022,14657,RT-38 AT BRIGGS RD,39.96823000000001,-74.90010000000001
10220,28126,RT-77 AT NEWKIRK STATION RD#,39.59971,-75.23915000000001
10221,19697,RT-77 AT MULLICA HILL-EWAN RD#,39.70414,-75.20404000000001
10222,14166,PARK ST AT 3RD ST#,40.15016000000001,-74.71063000000001
10223,16112,RIVER RD AT GRIFFITH-MORGAN LN,39.98761,-75.04547000000001
10224,17761,BLOOMFIELD AVE AT RIDGEWOOD AVE,40.80108000000001,-74.2042
10225,18132,BLOOMFIELD AVE AT MAPLE PL,40.81566,-74.21968000000001
